group_label,feature_a,feature_b,cell_slug,rank,word,log_ratio_score,weighted_group_count,weighted_background_count,group_doc_count,background_doc_count
HW-P-FN,Liking,Commitment,liking__commitment,1,morocco,7.673130367170111,9.903588309468002,0.0,6,0
HW-P-FN,Liking,Commitment,liking__commitment,2,mixpanel,7.622941072053346,9.418311999999998,0.0,10,0
HW-P-FN,Liking,Commitment,liking__commitment,3,crawls,7.622941072053346,9.418311999999998,0.0,10,0
HW-P-FN,Liking,Commitment,liking__commitment,4,crawler,7.622941072053346,9.418311999999998,0.0,10,0
HW-P-FN,Liking,Commitment,liking__commitment,5,webby,7.534310376208047,8.618635502080998,0.0,6,0
HW-P-FN,Liking,Commitment,liking__commitment,6,puzzle,7.517665345892066,8.476200310148002,0.0,6,0
HW-P-FN,Liking,Commitment,liking__commitment,7,greeted,7.435083656609512,7.803551999999998,0.0,8,0
HW-P-FN,Liking,Commitment,liking__commitment,8,sara,7.275886037976665,6.653614422118,0.0,16,0
HW-P-FN,Liking,Commitment,liking__commitment,9,shawl,7.1645211472754635,5.951351115776,0.0,4,0
HW-P-FN,Liking,Commitment,liking__commitment,10,suzanne,7.134194772661207,5.773278740799001,0.0,42,0
HW-P-FN,Liking,Commitment,liking__commitment,11,cirrus,7.1236108944085395,5.7123919999999995,0.0,9,0
HW-P-FN,Liking,Commitment,liking__commitment,12,todo,7.110556739536966,5.638176473013001,0.0,13,0
HW-P-FN,Liking,Commitment,liking__commitment,13,iranian,7.104000989479646,5.601269548245002,0.0,7,0
HW-P-FN,Liking,Commitment,liking__commitment,14,nuyen,7.079472747926729,5.465309223657001,0.0,39,0
HW-P-FN,Liking,Commitment,liking__commitment,15,todas,7.072102597732744,5.425103714634001,0.0,12,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,1,thestar,9.250496862632353,91.67639800000002,0.0,47,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,2,chow,9.248834471887353,91.52410600000003,0.0,25,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,3,ontario,9.236426040663698,90.39532900000005,0.0,35,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,4,capitol,9.19087606449749,86.36974700000005,0.0,84,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,5,mortgage,9.185745429382527,85.92769899999998,0.0,26,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,6,vous,9.164650707612692,84.13385399999997,0.0,14,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,7,writes,9.142406299111506,82.28278800000004,0.0,73,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,8,mais,9.11206253444559,79.82321999999999,0.0,37,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,9,mayor,9.09013603227358,78.09180800000001,0.0,41,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,10,votre,9.010519834938084,72.114732,0.0,14,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,11,huffpost,9.010166495645153,72.089252,0.0,14,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,12,chinese,8.947673004493693,67.72142000000001,0.0,41,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,13,wonderlist,8.895539445350622,64.280805,0.0,13,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,14,kyiv,8.842527350430453,60.961377,0.0,22,0
HW-P-FN,Reciprocity,Reciprocity,reciprocity__reciprocity,15,wasting,8.837934752504221,60.682002000000004,0.0,15,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,1,para,10.020543234978081,141.45469461013198,0.0,23,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,2,adorama,9.31319401299066,69.724903214672,0.0,14,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,3,mais,9.19540976210519,61.976505307414,0.0,23,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,4,mixpanel,9.088234056486728,55.676681075280015,0.0,10,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,5,crawls,9.088234056486728,55.676681075280015,0.0,10,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,6,crawler,9.088234056486728,55.676681075280015,0.0,10,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,7,wonderlist,9.028290232575786,52.436687396744986,0.0,13,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,8,como,8.969469275656225,49.44070024191999,0.0,23,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,9,greeted,8.93348920790774,47.69308881480001,0.0,8,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,10,shawl,8.898952437996584,46.073703346175996,0.0,4,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,11,estava,8.813548260524241,42.30134288611199,0.0,21,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,12,quando,8.806865317922302,42.01952135762801,0.0,21,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,13,tinha,8.747239308258095,39.586718599394004,0.0,23,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,14,apology,8.66731230431108,36.54504647909402,0.0,13,0
HW-P-FN,Reciprocity,Social Proof,reciprocity__social_proof,15,crochet,8.650246242526576,35.926488980448,0.0,8,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,1,mixpanel,8.750495013564507,31.357798489391993,0.0,10,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,2,crawls,8.750495013564507,31.357798489391993,0.0,10,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,3,crawler,8.750495013564507,31.357798489391993,0.0,10,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,4,greeted,8.590295596052812,26.714544782639994,0.0,8,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,5,vous,8.344191705909955,20.884344687346005,0.0,14,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,6,cirrus,8.268909901959615,19.369130299762,0.0,9,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,7,webby,8.259778004323504,19.192967639483005,0.0,6,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,8,votre,8.190120789302034,17.900866874868,0.0,14,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,9,morocco,8.126042958976292,16.7891751384,0.0,6,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,10,shawl,8.089812149156685,16.191421357056,0.0,4,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,11,dopamine,8.001432544909221,14.820996847999998,0.0,5,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,12,iranian,7.902813862718041,13.428190492295002,0.0,7,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,13,strategize,7.897522533353756,13.357272391319997,0.0,8,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,14,leis,7.897522533353756,13.357272391319997,0.0,8,0
HW-P-FN,Reciprocity,Scarcity,reciprocity__scarcity,15,salesloft,7.897522533353756,13.357272391319997,0.0,8,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,1,mixpanel,7.6821492363463975,9.409351096799998,0.0,10,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,2,crawls,7.6821492363463975,9.409351096799998,0.0,10,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,3,crawler,7.6821492363463975,9.409351096799998,0.0,10,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,4,puzzle,7.575036375090839,8.452573632800002,0.0,6,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,5,greeted,7.494098508886193,7.794616932959999,0.0,8,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,6,webby,7.403936888444882,7.121730077615999,0.0,6,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,7,sara,7.295312910283281,6.387644491796002,0.0,16,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,8,morocco,7.284959899083402,6.3217512918,0.0,6,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,9,cirrus,7.182337761397619,5.704202403568001,0.0,9,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,10,iranian,7.161657487194784,5.587244658415,0.0,7,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,11,suzanne,7.099640084045044,5.250662914725996,0.0,42,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,12,todo,7.058645057704142,5.039362622135999,0.0,13,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,13,shawl,7.05190171073798,5.005427564544,0.0,4,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,14,nuyen,7.040337063011798,4.947760006767997,0.0,39,0
HW-P-FN,Reciprocity,Commitment,reciprocity__commitment,15,fantasy,7.025469290696515,4.874594412264,0.0,4,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,1,para,10.056986878194975,154.60017,0.0,23,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,2,morocco,9.418441116344006,81.633414,0.0,11,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,3,mais,9.229980875053679,67.60980500000004,0.0,23,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,4,mixpanel,9.03680453508947,55.73147999999999,0.0,10,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,5,crawls,9.03680453508947,55.73147999999999,0.0,10,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,6,crawler,9.03680453508947,55.73147999999999,0.0,10,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,7,shawl,9.01962328339522,54.781952,0.0,4,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,8,como,9.01092590467978,54.30747200000001,0.0,23,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,9,adorama,8.865346749916243,46.94861999999999,0.0,9,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,10,estava,8.84351515259515,45.934548000000014,0.0,21,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,11,quando,8.84151984735444,45.84296600000003,0.0,21,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,12,tinha,8.790513959060284,43.56283900000001,0.0,23,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,13,crochet,8.746331850654327,41.679608,0.0,8,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,14,gundry,8.691589282437057,39.45875399999999,0.0,5,0
HW-P-FN,Social Proof,Social Proof,social_proof__social_proof,15,webby,8.611559200705232,36.423156,0.0,4,0
HW-P-FN,Social Proof,Scarcity,social_proof__scarcity,1,mixpanel,8.71586359847355,31.238500969679997,0.0,10,0
HW-P-FN,Social Proof,Scarcity,social_proof__scarcity,2,crawls,8.71586359847355,31.238500969679997,0.0,10,0
HW-P-FN,Social Proof,Scarcity,social_proof__scarcity,3,crawler,8.71586359847355,31.238500969679997,0.0,10,0
HW-P-FN,Social Proof,Scarcity,social_proof__scarcity,4,personalize,8.612099537528922,28.158584865698998,0.0,9,0
HW-P-FN,Social Proof,Scarcity,social_proof__scarcity,5,greeted,8.55535296175984,26.604622142159997,0.0,8,0
HW-P-FN,Social Proof,Scarcity,social_proof__scarcity,6,morocco,8.456022809811111,24.088042602846,0.0,9,0
