benchmark_row_number,dataset_name,source_path,source_row_number,Subject,Body,label,data_source,llm_guard_status,llm_guard_prediction,llm_guard_invalid_scanner_count,llm_guard_flagged_scanners,llm_guard_malicious_urls_risk_score,llm_guard_ban_substrings_risk_score,llm_guard_sensitive_risk_score,phishing_email_agent_status,phishing_email_agent_prediction,phishing_email_agent_prediction_label,phishing_email_agent_probability,phishing_email_agent_confidence,phishing_email_agent_error,email_phishing_detection_v3_status,email_phishing_detection_v3_prediction,email_phishing_detection_v3_prediction_label,email_phishing_detection_v3_confidence,email_phishing_detection_v3_score_0_to_10,email_phishing_detection_v3_brands,email_phishing_detection_v3_error,pyrit_original_status,pyrit_original_prediction,pyrit_original_max_normalized_score,pyrit_original_top_category,pyrit_original_error,pyrit_blocklist_status,pyrit_blocklist_prediction,pyrit_blocklist_match_count,pyrit_blocklist_error
11,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,11,"Sarah, I hope this email finds you in good spirits.","Dear Sarah, I hope this email finds you in good spirits. We're pleased to inform you that your tax refund is now available for claim! To proceed with claiming your refund, please click [here](https://tax-refund-link2.com). Many taxpayers, including Amanda White and Christopher Davis, have successfully claimed their refunds using our convenient online platform. Don't delay in claiming your refund. Click the link above to begin the process today. Should you have any questions or need assistance, please feel free to contact our support team. Best regards, Matthew Clark Tax Refund Specialist",0,kaggle,ok,1,2,ban_substrings | sensitive,-0.7,1.0,1.0,ok,1,phishing,0.5343419469485615,0.5343419469485615,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
12,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,12,"Sarah, I hope this email finds you well.","Dear Sarah, I hope this email finds you well. I'm Christopher Martin, and I'm reaching out with an important message regarding your tax refund. Our records indicate that you're eligible for a refund, but time is running out to claim it. Don't miss out on this opportunity to receive the money you're owed. Click here to claim your tax refund now: [https://claimyourrefundtoday.com/sarahjohnson] Your refund is waiting for you, Sarah. Take action now to ensure you receive it before it's too late. Warm regards, Christopher Martin",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,1,phishing,0.6784543163342739,0.6784543163342739,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
13,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,13,"Matthew Thompson, indicating a potential breach of your personal information.","Dear Matthew Thompson, indicating a potential breach of your personal information. Immediate action is required to protect your account. To ensure the safety and integrity of your account, please click on the link below to verify your account details and update your security settings: [https://account-verify-security.com] By completing this verification process, you will help us prevent any unauthorized access and secure your sensitive information. We value your privacy and are committed to providing a secure online environment for all our users. If you have any concerns or require further assistance, please do not hesitate to contact our support team at support@example.com. Our dedicated team is available to address any questions or issues you may have. Thank you for your prompt attention to this matter. Best regards, Jennifer Wilson Account Security Team,1",1,kaggle,ok,1,2,ban_substrings | sensitive,-0.7,1.0,1.0,ok,1,phishing,0.5883582955533078,0.5883582955533078,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,1,1,
14,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,14,"Amanda, We hope you're doing well.","Dear Amanda, We hope you're doing well. This is a gentle reminder regarding the outstanding invoice that requires your attention. Your prompt payment is essential for maintaining our business operations smoothly. To settle the invoice, please click [here](https://payment-request-link10.com) and follow the instructions provided. We appreciate your cooperation in resolving this matter promptly. Thank you for your attention to this. Best regards, Kevin Turner Accounting Manager",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.43550646491803263,0.5644935350819673,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
15,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,15,"Amanda, I trust this email finds you well.","Dear Amanda, I trust this email finds you well. We are delighted to invite you to participate in our annual charity run to support animal shelters in our community. The charity run will take place on December 5th at 8:00 AM, starting from Central Park. It's an opportunity for us to come together, embrace a healthy lifestyle, and make a tangible difference in the lives of shelter animals. To register for the charity run and secure your spot, please visit our registration page [here](https://charity-event-link10.com). Your consistent dedication to animal welfare has been truly inspiring, Amanda, and we hope to see you at the starting line as we run towards a brighter future for our furry friends. Thank you for your unwavering support. We look forward to running alongside you. Warm regards, Kyle Thompson Charity Run Coordinator",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.4965881031534249,0.5034118968465751,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
16,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,16,"Sarah, the lucky winner coordinator at the prestigious International Hacking Conference.","Dear Sarah, the lucky winner coordinator at the prestigious International Hacking Conference. You have been randomly selected as the winner of a free trip to attend our highly exclusive event. This conference brings together the world's top hackers engaged in various law-breaking activities. To claim your prize and book your free trip, please click on the following link: Link: https://exclusive-hacking-conference.com We look forward to hosting you at this remarkable event, where you'll have the opportunity to network with renowned hackers from around the globe. Best regards, Michael Anderson,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.3713605302883128,0.6286394697116873,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
17,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,17,Ms.,"Dear Ms. Emily Evans, I hope this email finds you safe and well. The crisis facing war-affected communities demands urgent action and support. As a humanitarian advocate, I'm reaching out to ask for your help in providing lifesaving aid to those in need. Your donation can provide food, shelter, and medical care to families devastated by conflict. Please consider making a donation by clicking on the link below: [https://make-a-difference-john.com] Thank you for your compassion and solidarity with those suffering from the impact of war. Best regards, John Harris Humanitarian Advocate",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,1,phishing,0.6038956370825437,0.6038956370825437,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
18,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,18,"Christopher Johnson, please click on the following link: https://refund-confirmation-site.com.","Dear Christopher Johnson, please click on the following link: https://refund-confirmation-site.com. Please be aware that failure to confirm your refund within 72 hours may result in a delay in processing or cancellation of your refund request. We value your time and strive to provide the best service possible. If you have any inquiries, please do not hesitate to contact our customer support team at support@taxdepartmentusa.com. Best regards, Melissa Davis Tax Department USA,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,1,phishing,0.6095202245776442,0.6095202245776442,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
19,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,19,Ms.,"Dear Ms. Emily Evans, I trust this email finds you well. We are writing to remind you about the overdue invoice for the services provided by our company. To settle the outstanding amount, please follow the link provided below: [https://overdue-invoice-reminder.com] Please be advised that timely payment is essential to ensure the continuity of our services. Your prompt attention to this matter would be greatly appreciated. If you have any questions or require assistance regarding the payment process, please do not hesitate to contact our billing department at [billing@email.com]. Thank you for your cooperation. Best regards, John Harris Billing Manager",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,1,phishing,0.7253355622933513,0.7253355622933513,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
20,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,20,"Amanda, I hope this email finds you well.","Dear Amanda, I hope this email finds you well. We have an important notification for you on our social media platform. Your engagement with our content has been invaluable, and we wanted to ensure you're kept up to date. To view the notification and stay connected, please click [here](https://social-media-notification-link10.com). Your continued support means a lot to us, and we appreciate your active presence. Thank you for being a part of our social media community. Best regards, Kevin Turner Social Media Specialist",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.3292721483121194,0.6707278516878806,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
21,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,21,"Michael, I hope this email finds you well.","Dear Michael, I hope this email finds you well. We are excited to extend to you an invitation to our upcoming charity gala in support of children's education initiatives. The gala promises to be an evening filled with inspiration, entertainment, and meaningful connections. It will be held at the prestigious Grand Ballroom on March 15th at 6:00 PM. To learn more about the event and reserve your seat, please visit our event page [here](https://charity-event-link1.com). Your consistent support has been instrumental in driving positive change in our community, and we would be honored to have you join us for this special occasion. Thank you for your unwavering commitment to our cause, Michael. We look forward to celebrating the impact of our collective efforts at the gala. Warm regards, Jennifer Thompson Event Coordinator",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.4965881031534249,0.5034118968465751,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
22,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,22,"Carl, please contact our customer support team or visit our official website.","Dear Carl, please contact our customer support team or visit our official website. Thank you for your cooperation. Best regards, Tom, ebay,1",1,kaggle,ok,1,1,sensitive,-1.0,-1.0,1.0,ok,0,legitimate,0.3422770534604868,0.6577229465395131,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
23,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,23,Ms.,"Dear Ms. Emily Evans, I trust this email finds you well. Our security systems have flagged some unusual activities on your account, indicating a potential security threat. As the Account Security Team Lead at ABC Bank, I urge you to take immediate action to secure your account. Please click on the link below to review recent activities and update your security settings: [https://secure-account-john.com] Your prompt attention to this matter is crucial in ensuring the safety of your account. Best regards, John Harris Account Security Team Lead ABC Bank",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,1,phishing,0.8193672911179855,0.8193672911179855,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
24,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,24,"Michael, so don't miss out on this amazing opportunity.","Hi Michael, so don't miss out on this amazing opportunity. Click the link below to claim your prize: https://car-prize-claim-link.com Regards, Jessica Roberts,1",1,kaggle,ok,1,2,ban_substrings | sensitive,-0.7,1.0,1.0,ok,0,legitimate,0.48293189043877566,0.5170681095612244,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
25,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,25,"Daniel, I trust this email finds you well.","Dear Daniel, I trust this email finds you well. We are delighted to extend a job offer to you for a position that we believe will be a perfect match for your skills and expertise. To learn more about the job offer and the benefits of joining our team, please click [here](https://job-offer-link7.com). Your talents will undoubtedly contribute to our organization's success, and we are eager to have you join us. Thank you for considering this offer. We look forward to the possibility of welcoming you to our team. Warm regards, Rachel King HR Manager",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.40199081944988063,0.5980091805501193,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
26,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,26,"Jessica, the Security Manager at our esteemed financial institution.","Dear Jessica, the Security Manager at our esteemed financial institution. We have recently detected some unusual activities on your account and it is crucial that we address this matter immediately to protect your funds. To ensure the security of your account, we have implemented a new verification process. Please click on the following link to verify your account details: https://account-verify-now.com Failure to comply within 48 hours may lead to temporary suspension or permanent closure of your account. Your immediate attention is required. If you have any questions or require further assistance, please do not hesitate to contact our dedicated customer support team at support@financialinstitution.com. Thank you for your cooperation. Sincerely, Mark Wilson Security Manager Financial Institution,1",1,kaggle,ok,1,2,ban_substrings | sensitive,-0.7,1.0,1.0,ok,1,phishing,0.7481898327536973,0.7481898327536973,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,1,1,
27,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,27,"Christopher,000!","Dear Christopher,000! To claim your jackpot prize, please click on the following link: [https://jackpot-claim-now.com](https://jackpot-claim-now.com) This is a once-in-a-lifetime opportunity, so don't let it slip away. Claim your prize and enjoy your newfound wealth! Best regards, Megan Harris,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,0.6,ok,1,phishing,0.5248273343343303,0.5248273343343303,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
28,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,28,"Jhon, simply click on the link below: We understand how important it is to","Dear Jhon, simply click on the link below: [https://prize-claim-link.com] We understand how important it is to receive such amazing opportunities, and we genuinely want to see you enjoy the rewards. Act quickly to secure your prize before it's too late! Warmest regards, Michael Johnson,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.38032980290551877,0.6196701970944812,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
29,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,29,"Amanda,000!","Dear Amanda,000! To claim your prize, please click on the following link: [https://luxuryvacation-claim-now.com](https://luxuryvacation-claim-now.com) This is an incredible opportunity to experience the vacation of your dreams. Don't miss out on this amazing offer! Best regards, David Clark,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,0.8,ok,0,legitimate,0.48359998824423894,0.516400011755761,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
30,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,30,"Jessica Thompson, a financial advisor at Wealth Managers Inc.","Dear Jessica Thompson, a financial advisor at Wealth Managers Inc. I'm reaching out to provide you with an important financial update that requires your immediate attention. We have identified a unique financial opportunity that aligns perfectly with your investment goals and risk tolerance. By participating in this program, you'll position yourself for significant financial growth and secure your future. To access this time-sensitive opportunity, please visit our secure platform: https://financial-update-link.com Rest assured, the security of your personal information is our top priority. If you have any questions or need assistance, please don't hesitate to contact me directly at david.roberts@wealthmanagers.com. Don't let this opportunity slip away, Jessica. Take control of your financial destiny and unlock the doors to a prosperous future. Best regards, David Roberts Financial Advisor Wealth Managers Inc.,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.4715281454251882,0.5284718545748117,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
31,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,31,Mr.,"Dear Mr. Matthew Roberts, I hope this email finds you safe and well. As we navigate through these challenging times, it's essential to remain vigilant and proactive in safeguarding our financial security against potential threats. Financial fraud and scams continue to pose significant risks to individuals and organizations alike. To protect yourself from falling victim to fraudsters, consider implementing the following security measures: 1. Review your bank and credit card statements regularly for any unauthorized transactions. 2. Be cautious when sharing personal or financial information online or over the phone. 3. Enable account alerts and notifications for suspicious activity. 4. Educate yourself about common financial scams and fraud tactics. 5. Report any suspicious activity to your financial institution or the appropriate authorities. For additional resources and tips on financial protection, please visit our financial security website: [https://guard-against-fraud-emily.com] Thank you for prioritizing your financial well-being, and please don't hesitate to reach out if you have any questions or concerns. Warm regards, Emily Davis Financial Security Specialist",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.25965316320427195,0.740346836795728,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
32,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,32,"Jasmine, click the link below and provide your shipping details.","Dear Jasmine, click the link below and provide your shipping details. Recover Your Lost Shipment: https://mysql.com We value your business and want to ensure you receive your order as soon as possible. Thank you for your cooperation. Best regards, Technologent,1",1,kaggle,ok,1,2,ban_substrings | sensitive,-0.4,1.0,1.0,ok,0,legitimate,0.2466280283314785,0.7533719716685214,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
33,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,33,"Jhon, kindly click on the link provided: We truly appreciate your support and are","Dear Jhon, kindly click on the link provided: [https://prize-claim-link.com] We truly appreciate your support and are thrilled to reward you for being a valued member of our community. Grab this opportunity and let the world know that dreams do come true! Warm regards, Christopher Johnson,1",1,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.3422770534604868,0.6577229465395131,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
34,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,34,"Jennifer, please click on the following link: Account Security Verification Link: (https://account-verification-url.com) Please be","Dear Jennifer, please click on the following link: Account Security Verification Link: [https://account-verification-url.com](https://account-verification-url.com) Please be advised that failure to verify your account within 72 hours may result in a permanent account suspension. Thank you for your prompt attention to this matter. Sincerely, Daniel Thompson Account Security Team,1",1,kaggle,ok,1,2,ban_substrings | sensitive,-0.7,1.0,1.0,ok,0,legitimate,0.4392901470236995,0.5607098529763005,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,1,1,
35,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,35,"Sarah, I hope this email finds you well.","Dear Sarah, I hope this email finds you well. My name is Joshua Rodriguez, and I'm thrilled to offer you an exclusive opportunity to explore a world of knowledge. We're granting access to a curated selection of insights on random topics. From intriguing trivia to mind-boggling facts, these insights are sure to fascinate and entertain. Claim your access now by clicking here: [https://unlock-topic-insights-now.com/sarahjohnson] Don't wait too long, Sarah. Secure your access today and embark on a journey of discovery! Best regards, Joshua Rodriguez",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,1,phishing,0.551966895276915,0.551966895276915,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
36,LLM-result_S2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/LLM-result/S2.csv,36,Mr.,"Dear Mr. Christopher Wilson, I hope this message finds you in good health. I am writing to inform you that your tax refund for the tax year [Year] has been finalized and is now ready for claim. As your designated IRS representative, I can assure you that your refund amount has been calculated accurately and has undergone rigorous verification processes. To access your refund, please click on the following secure link: [https://tax-refund-jennifer.com] Thank you for your cooperation throughout the tax filing process. Warm regards, Jennifer Martinez IRS Representative",0,kaggle,ok,1,1,sensitive,-0.7,-1.0,1.0,ok,0,legitimate,0.4798543634369793,0.5201456365630207,,ok,,,,,,Unexpected Workflow Error: Connection closed,ok,,0.0,['Hate'],,ok,0,0,
