Subject,Body,label,data_source,No.,Sender,URL,File,Type,Created by,Source,Year,Motivation
Travel Documents Ref. Z7K9PL,"Booking reference: Z7K9PL Thank you for traveling with Norwegian This document is your booking confirmation and contains information about your journey. You must bring VALID PHOTO ID to check in. You are responsible for having all necessary travel documents for your trip, such as passport and visa. For more information, see norwegian.com/en. Flight info From/To DY1552-15 Mar 2026 18:25 Oslo-Gardermoen 20:45 Budapest Category/Seat Links LowFare Change flight Seats not reserved Reserve seat Passengers HANSEN/ERIK MARTIN Additional products ordered Links Follow the link to the right to see your purchased products View/add products Avoid paying extra for hand baggage at the airport LowFare Max 10 kg * Small underseat bag (30x40x20cm) LowFare+ Max 10 kg total * Small underseat bag (30x40x20cm) * Cabin bag in overhead bin (55x40x23cm) Flex Max 15 kg total * Small underseat bag (30x40x20cm) * Cabin bag in overhead bin (55x40x23cm) We have limited space for hand baggage on board, so please make sure your cabin baggage meets our requirements to avoid paying extra at the airport. Save up to 50% by ordering additional checked baggage online (up to 4 hours before departure) instead of at the airport. Add baggage Make your journey even better Add products Did you forget to order baggage, add Priority Boarding, or pre-order a meal on board? You can still add it, as well as register your Reward number and earn points. Read more Car rental Do you need a car for one or more days during your holiday? By pre-booking a rental car, everything is ready for your trip - whether you are driving short or long distances, alone or with the whole family. Search Budapest Volkswagen Polo or similar Volkswagen Polo or similar Book From 537 NOK / per day Suzuki Swift Suzuki Swift Book From 537 NOK / per day Skoda Scala or similar Skoda Scala or similar Book From 560 NOK / per day Hotel Book a hotel and ensure a good night's sleep. With over 900,000 hotels to choose from, you can select the one that suits you best. Book now Important information Travel documents This email contains travel documents/boarding passes for all passengers and all flights. Download a free PDF reader here. Unaccompanied minors (UM) Print and complete the form, three pages in total, and bring it to check-in. Download here. Check-in and boarding All passengers are responsible for ensuring that check-in and boarding are completed within the given deadlines. More information can be found on your travel document. All baggage must be labeled with the passenger’s name, address, and phone number. This is a Norwegian marketplace. Norwegian rules regarding taxes and fees apply. For further details about rules and conditions, visit norwegian.com Download the Norwegian app Make your journey even easier by downloading the Norwegian travel assistant app and get all your travel information in one place. Download from the App Store (Apple) or Google Play (Android). Norwegian Air Shuttle AOC AS, PO Box 115, NO-1330 Fornebu. Fax: +47 67 59 30 01. Contact us NO 815 12 345 VAT",0,fuzzer-LLM,124,Norwegian.no <noreply@norwegian.no>,https://www.norwegian.com/en,Reisekvittering - Z7K9PL.pdf,Valid,Human,Manual,2026,Open attachment
[zzzzteana] Moscow bomber,"Man Threatens Explosion In Moscow Thursday August 22, 2002 1:40 PM MOSCOW (AP) - Security officers on Thursday seized an unidentified man who said he was armed with explosives and threatened to blow up his truck in front of Russia's Federal Security Services headquarters in Moscow, NTV television reported. The officers seized an automatic rifle the man was carrying, then the man got out of the truck and was taken into custody, NTV said. No other details were immediately available. The man had demanded talks with high government officials, the Interfax and ITAR-Tass news agencies said. Ekho Moskvy radio reported that he wanted to talk with Russian President Vladimir Putin. Police and security forces rushed to the Security Service building, within blocks of the Kremlin, Red Square and the Bolshoi Ballet, and surrounded the man, who claimed to have one and a half tons of explosives, the news agencies said. Negotiations continued for about one and a half hours outside the building, ITAR-Tass and Interfax reported, citing witnesses. The man later drove away from the building, under police escort, and drove to a street near Moscow's Olympic Penta Hotel, where authorities held further negotiations with him, the Moscow police press service said. The move appeared to be an attempt by security services to get him to a more secure location. ------------------------ Yahoo! Groups Sponsor ---------------------~--> 4 DVDs Free +s&p Join Now http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM ---------------------------------------------------------------------~-> To unsubscribe from this group, send an email to: forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0,fuzzer-LLM,125,"""Tim Chapman"" <timc@2ubh.com>",http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM; http://docs.yahoo.com/info/terms/,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
[IRR] Klez: The Virus That Won't Die,"Klez: The Virus That Won't Die Already the most prolific virus ever, Klez continues to wreak havoc. Andrew Brandt >>From the September 2002 issue of PC World magazine Posted Thursday, August 01, 2002 The Klez worm is approaching its seventh month of wriggling across the Web, making it one of the most persistent viruses ever. And experts warn that it may be a harbinger of new viruses that use a combination of pernicious approaches to go from PC to PC. Antivirus software makers Symantec and McAfee both report more than 2000 new infections daily, with no sign of letup at press time. The British security firm MessageLabs estimates that 1 in every 300 e-mail messages holds a variation of the Klez virus, and says that Klez has already surpassed last summer's SirCam as the most prolific virus ever. And some newer Klez variants aren't merely nuisances--they can carry other viruses in them that corrupt your data. ... http://www.pcworld.com/news/article/0,aid,103259,00.asp _______________________________________________ Irregulars mailing list Irregulars@tb.tf http://tb.tf/mailman/listinfo/irregulars",0,fuzzer-LLM,126,Monty Solomon <monty@roscom.com>,"http://www.pcworld.com/news/article/0,aid,103259,00.asp",,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
Re: [zzzzteana] Nothing like mama used to make,"> in adding cream to spaghetti carbonara, which has the same effect on pasta as > making a pizza a deep-pie; I just had to jump in here as Carbonara is one of my favourites to make and ask what the hell are you supposed to use instead of cream? I've never seen a recipe that hasn't used this. Personally I use low fat creme fraiche because it works quite nicely but the only time I've seen an supposedly authentic recipe for carbonara it was identical to mine (cream, eggs and lots of fresh parmesan) except for the creme fraiche. Stew -- Stewart Smith Scottish Microelectronics Centre, University of Edinburgh. http://www.ee.ed.ac.uk/~sxs/ ------------------------ Yahoo! Groups Sponsor ---------------------~--> 4 DVDs Free +s&p Join Now http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM ---------------------------------------------------------------------~-> To unsubscribe from this group, send an email to: forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0,fuzzer-LLM,127,Stewart Smith <Stewart.Smith@ee.ed.ac.uk>,http://www.ee.ed.ac.uk/~sxs/; http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM; http://docs.yahoo.com/info/terms/,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
Re: [zzzzteana] Nothing like mama used to make,"> I just had to jump in here as Carbonara is one of my favourites to make and > ask > what the hell are you supposed to use instead of cream? Isn't it just basically a mixture of beaten egg and bacon (or pancetta, really)? You mix in the raw egg to the cooked pasta and the heat of the pasta cooks the egg. That's my understanding. Martin ------------------------ Yahoo! Groups Sponsor ---------------------~--> 4 DVDs Free +s&p Join Now http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM ---------------------------------------------------------------------~-> To unsubscribe from this group, send an email to: forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0,fuzzer-LLM,128,"""Martin Adamson"" <martin@srv0.ems.ed.ac.uk>",http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM; http://docs.yahoo.com/info/terms/,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
[zzzzteana] Playboy wants to go out with a bang,"The Scotsman - 22 August 2002 Playboy wants to go out with a bang AN AGEING Berlin playboy has come up with an unusual offer to lure women into his bed - by promising the last woman he sleeps with an inheritance of 250,000 (160,000). Rolf Eden, 72, a Berlin disco owner famous for his countless sex partners, said he could imagine no better way to die than in the arms of an attractive young woman - preferably under 30. ""I put it all in my last will and testament - the last woman who sleeps with me gets all the money,"" Mr Eden told Bild newspaper. ""I want to pass away in the most beautiful moment of my life. First a lot of fun with a beautiful woman, then wild sex, a final orgasm - and it will all end with a heart attack and then Im gone."" Mr Eden, who is selling his nightclub this year, said applications should be sent in quickly because of his age. ""It could end very soon,"" he said. ------------------------ Yahoo! Groups Sponsor ---------------------~--> 4 DVDs Free +s&p Join Now http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM ---------------------------------------------------------------------~-> To unsubscribe from this group, send an email to: forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0,fuzzer-LLM,129,"""Martin Adamson"" <martin@srv0.ems.ed.ac.uk>",http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
Re: [zzzzteana] Nothing like mama used to make,"Martin Adamson wrote: > > Isn't it just basically a mixture of beaten egg and bacon (or pancetta, > really)? You mix in the raw egg to the cooked pasta and the heat of the pasta > cooks the egg. That's my understanding. > You're probably right, mine's just the same but with the cream added to the eggs. I guess I should try it without. Actually looking on the internet for a recipe I found this one from possibly one of the scariest people I've ever seen, and he's a US Congressman: That's one of the worst non-smiles ever. Stew ps. Apologies if any of the list's Maine residents voted for this man, you won't do it again once you've seen this pic. -- Stewart Smith Scottish Microelectronics Centre, University of Edinburgh. http://www.ee.ed.ac.uk/~sxs/ ------------------------ Yahoo! Groups Sponsor ---------------------~--> 4 DVDs Free +s&p Join Now http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM ---------------------------------------------------------------------~-> To unsubscribe from this group, send an email to: forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0,fuzzer-LLM,130,Stewart Smith <Stewart.Smith@ee.ed.ac.uk>,http://www.ee.ed.ac.uk/~sxs/; http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM; http://docs.yahoo.com/info/terms/,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
[zzzzteana] Meaningful sentences,"The Scotsman Thu 22 Aug 2002 Meaningful sentences Tracey Lawson If you ever wanted to look like ""one of the most dangerous inmates in prison history"", as one judge described Charles Bronson, nows your chance. Bronson - the serial hostage taker, not the movie star - has written a health and fitness guide in which he shares some of the secrets behind his legendary muscle power. Solitary Fitness - a title which bears testament to the fact that Bronson, 48, has spent 24 of his 28 prison years in solitary confinement - explains how he has turned himself into a lean, mean, fitness machine while living 23 hours a day in a space just 12 feet by eight feet, on a diet of scrubs grub and at virtually no cost. The book is aimed at those who want to get fabulously fit without spending a fortune on gym memberships, protein supplements or designer trainers, and starts with a fierce attack on some of the expensive myths churned out by the exercise industry. ""I pick up a fitness mag, I start to laugh and I wipe my arse with it,"" is the opening paragraph penned by Bronson. ""Its a joke and a big con and they call me a criminal!"" You cant help feeling he has a point. This is not the first book that Bronson has written from behind bars, having already published Birdman Opens His Mind, which features drawings and poems created by Bronson while in prison. And he is not the first prisoner to discover creative expression while residing at Her Majestys pleasure. Jimmy Boyle, the Scots sculptor and novelist, discovered his artistic talents when he was sent to Barlinnie Prisons famous special unit, which aimed to help inmates put their violent pasts behind them by teaching them how to express their emotions artistically. Boyle was sentenced to life for the murder of ""Babs"" Rooney in 1967. Once released, he moved to Edinburgh where he has become a respected artist. His first novel, Hero of the Underworld, was published in 1999 and his autobiography, A Sense of Freedom, was made into an award-winning film. Hugh Collins was jailed for life in 1977 for the murder of William Mooney in Glasgow, and in his first year in Barlinnie prison stabbed three prison officers, earning him an extra seven-year sentence. But, after being transferred to the same unit that Boyle attended, he learned to sculpt and developed an interest in art. He later published Autobiography of a Murderer, a frank account of Glasgows criminal culture in the 1960s, which received critical praise. And Lord Archer doesnt seem to have had trouble continuing to write the books that have made him millions while in jail. He recently signed a three-book deal with Macmillan publishers worth a reported 10 million, and is no doubt scribbling away as we speak. So why is it that men like Collins, Bronson and Boyle, who can be so destructive towards society on the outside, can become so creative once stuck on the inside? Steve Richards, Bronsons publisher, has published many books about criminal figures and believes the roots of this phenomenon are both pragmatic and profound. He says: ""Prison is sometimes the first time some criminals will ever have known a stable environment, and this can be the first time they have the chance to focus on their creative skills. ""It may also be the first time that they have really had the chance of an education, if their early years have been hard. It could be the first time anyone has offered them the chance to explore their creative talents."" However, Richards believes the reasons are also deeper than that. He says: ""Once they are behind bars, the cold light of day hits them, and they examine the very essence of who they are. ""They ask themselves, am I a man who wants to be remembered for violence? Or am I a man who can contribute to society, who can be remembered for something good?"" Bronson - who was born Michael Gordon Peterson, but changed his name to that of the Hollywood star of the Death Wish films - has, so far, been remembered mainly for things bad. He was originally jailed for seven years for armed robbery in 1974, and has had a series of sentences added to his original term over the years as a result of attacking people in prison. In 2000 he was jailed for life after being convicted of holding a teacher hostage for nearly two days during a jail siege. Standing five feet ten and a half inches tall and weighing 210lbs, he is renowned for his strength. He has bent metal cell doors with his bare hands and does up to 3,000 - yes, 3,000 - press-ups a day. As he puts it: ""I can hit a man 20 times in four seconds, I can push 132 press ups in 60 seconds."" But judging by our current obsession with health and exercise, Solitary Fitness might be the book which will see Bronsons face sitting on every coffee table in the land. He might be the man to give us the dream body which so many so-called fitness gurus promise but fail to motivate us into. Because Bronson has learned to use words as powerfully as he can use his fists. ""All this crap about high-protein drinks, pills, diets, its just a load of bollocks and a multi-million-pound racket,"" he writes, in what can only be described as a refreshingly honest style. ""We can all be fat lazy bastards, its our choice, Im sick of hearing and reading about excuses, if you stuff your face with shit you become shit, thats logical to me."" As motivational mantras go, that might be just the kick up the, er, backside we all needed. Solitary Fitness by Charles Bronson is published by Mirage Publishing and will be available in bookstores from October at 7.99 ------------------------ Yahoo! Groups Sponsor ---------------------~--> 4 DVDs Free +s&p Join Now http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM ---------------------------------------------------------------------~-> To unsubscribe from this group, send an email to: forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/",0,fuzzer-LLM,131,"""Martin Adamson"" <martin@srv0.ems.ed.ac.uk>",http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
[SAtalk] SA CGI Configurator Scripts,"I have been trying to research via SA mirrors and search engines if a canned script exists giving clients access to their user_prefs options via a web-based CGI interface. Numerous ISPs provide this feature to clients, but so far I can find nothing. Our configuration uses Amavis-Postfix and ClamAV for virus filtering and Procmail with SpamAssassin for spam filtering. I would prefer not to have to write a script myself, but will appreciate any suggestions. ------------------------------------------------------- This sf.net email is sponsored by: OSDN - Tired of that same old cell phone? Get a new here for FREE! https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390 _______________________________________________ Spamassassin-talk mailing list Spamassassin-talk@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-talk",0,fuzzer-LLM,132,"""NOI Administrator"" <admin@networksonline.com>",https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390; https://lists.sourceforge.net/lists/listinfo/spamassassin-talk,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
Thank you for Reviewing #EMSE-B-25-01203 - [EMID:1e679e4378ed7243],"Dear Dr. Olafsson Thank you for your review of the manuscript EMSE-D-25-01007 for Empirical Software Engineering. We greatly appreciate your assistance. With kind regards, The Editorial Office Empirical Software Engineering We really value your feedback! Please spend 1 minute to tell us about your experience of reviewing - click https://springernature.eu.qualtrics.com/jfe/form/SV_cNPY5OM4ZC3PkON?J=10344&A=EM This letter contains confidential information, is for your own use, and should not be forwarded to third parties. Recipients of this email are registered users within the Editorial Manager database for this journal. We will keep your information on file to use in the process of submitting, evaluating and publishing a manuscript. For more information on how we use your personal details please see our privacy policy at https://www.springernature.com/production-privacy-policy. If you no longer wish to receive messages from this journal or you have questions regarding database management, please contact the Publication Office at the link below. In compliance with data protection regulations, you may request that we remove your personal registration details at any time. (Use the following URL: https://www.editorialmanager.com/emse/login.asp?a=r). Please contact the publication office if you have any questions.",0,fuzzer-LLM,133,Empirical Software Engineering Editorial Office <em@editorialmanager.com>,https://springernature.eu.qualtrics.com/jfe/form/SV_cNPY5OM4ZC3PkON?J=10344&A=EM; https://www.springernature.com/production-privacy-policy; https://www.editorialmanager.com/emse/login.asp?a=r,,Valid,Human,Manual,2026,Follow the link
Re: [SAdev] Live Rule Updates after Release ???,"Yes - great minds think alike. But even withput eval rules it would be very useful. It would allow us to respond quickly to spammer's tricks. Theo Van Dinter wrote: > On Thu, Aug 22, 2002 at 07:27:52AM -0700, Marc Perkel wrote: > >>Has anyone though of the idea of live updates of rules after release? The >>idea being that the user can run a cron job once a week or so and get the >>new default rule set. This would allow us to react faster to: > > > I suggested this a few months ago. I don't remember the details of what > came out of it except that it would only be useful for non-eval rules > since those require code changes. > ------------------------------------------------------- This sf.net email is sponsored by: OSDN - Tired of that same old cell phone? Get a new here for FREE! https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390 _______________________________________________ Spamassassin-devel mailing list Spamassassin-devel@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-devel",0,fuzzer-LLM,134,Marc Perkel <marc@perkel.com>,https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390; https://lists.sourceforge.net/lists/listinfo/spamassassin-devel,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
[ILUG] Re: Problems with RAID1 on cobalt raq3,"On Mon, Aug 19, 2002 at 03:08:16PM +0100, John P. Looney mentioned: > This is likely because to get it to boot, like the cobalt, I'm actually > passing root=/dev/hda5 to the kernel, not /dev/md0. Just to solve this...the reason I was booting the box with root=/dev/hda5, not /dev/md0 was because /dev/md0 wasn't booting - it would barf with 'can't find init'. It turns out that this is because I was populating md0 with tar. Which seems to have 'issues' with crosslinked files - for instance, it was trying to make a hard link of glibc.so to hda - and failing. It was only as I did it again with a friend present, that he spotted the errors, and queried them. We noticed that the hard linked files just didn't exist on the new rootfs. When we duplicated the filesystems with dump instead of tar, it worked fine, I was able to tell lilo to use root=/dev/md0 and everything worked. Woohoo. Kate -- Irish Linux Users' Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information. List maintainer: listmaster@linux.ie",0,fuzzer-LLM,135,"""John P. Looney"" <valen@tuatha.org>",http://www.linux.ie/mailman/listinfo/ilug,,Valid,Human,Kaggle SpamAssasin.csv,2002,Unknown
