stage,detector,n_rows,positive_rate,predicted_positive_rate,mcc,f1,fpr,fnr,recall,precision,f0_5,f2,accuracy,pr_auc
S6-MPG,phishing_email_agent_prediction,3160,0.49746835443037973,0.2107594936708861,0.2788461470859393,0.45665773011617516,0.09760705289672544,0.6749363867684478,0.32506361323155214,0.7672672672672672,0.6031633616619453,0.36741443773367843,0.6151898734177215,0.585170163883083
S6-MPG,email_phishing_detection_v3_prediction,3128,0.4971227621483376,0.5169437340153452,0.7615145432924639,0.882093316519546,0.1385886840432295,0.10032154340836012,0.8996784565916399,0.865182436611008,0.8718683784120653,0.8925609289268853,0.8804347826086957,0.8282581220025343
S6-MPG,pyrit_original_prediction,0,,,,,,,,,,,,
S6-MPG,pyrit_blocklist_prediction,3158,0.49715009499683344,0.10607979734008867,0.20042970060551032,0.27716535433070866,0.044710327455919394,0.8318471337579618,0.1681528662420382,0.7880597014925373,0.4536082474226804,0.19954648526077098,0.5639645345155162,0.5460673791464294
S6-UTA,llm_guard_prediction,3200,0.5,0.33625,-0.019844394992077748,0.39088191330343797,0.345625,0.673125,0.326875,0.48605947955390333,0.442920054200542,0.3497859818084537,0.490625,0.49544319237918216
S6-UTA,phishing_email_agent_prediction,3200,0.5,0.2221875,0.1931905481170264,0.418866291648637,0.141875,0.6975,0.3025,0.680731364275668,0.5445544554455446,0.3403178174658979,0.5803125,0.5546712376933896
S6-UTA,email_phishing_detection_v3_prediction,0,,,,,,,,,,,,
S6-UTA,pyrit_original_prediction,0,,,,,,,,,,,,
S6-UTA,pyrit_blocklist_prediction,3200,0.5,0.065,0.08366262241371754,0.1515486725663717,0.044375,0.914375,0.085625,0.6586538461538461,0.2816611842105263,0.10366222760290557,0.520625,0.5135847355769231
S6-fuzzer,llm_guard_prediction,3260,0.6665644171779141,0.49846625766871167,-0.3255500250524666,0.43865192206424436,0.7286108555657773,0.616658996778647,0.38334100322135295,0.5126153846153846,0.480225988700565,0.4037026267325773,0.3460122699386503,0.6075494405904374
S6-fuzzer,phishing_email_agent_prediction,3300,0.6666666666666666,0.22121212121212122,0.13525654879053153,0.3918088737201365,0.14181818181818182,0.7390909090909091,0.2609090909090909,0.7863013698630137,0.560546875,0.3011542497376705,0.46,0.6978804483188045
S6-fuzzer,email_phishing_detection_v3_prediction,2773,0.6678687342228633,0.4157951676884241,0.4535570679222547,0.7068219633943428,0.0988056460369164,0.4265658747300216,0.5734341252699784,0.9210754553339116,0.8214727722772277,0.6202546431491648,0.6822935448972233,0.8130661088556566
S6-fuzzer,pyrit_original_prediction,0,,,,,,,,,,,,
S6-fuzzer,pyrit_blocklist_prediction,3245,0.673035439137134,0.06594761171032358,0.1481458098129256,0.16680567139282734,0.013195098963242224,0.9084249084249084,0.09157509157509157,0.9345794392523364,0.32894736842105265,0.11173184357541899,0.3842835130970724,0.6969863548985995
S8-deepseek,llm_guard_prediction,3000,0.5,0.7616666666666667,0.22766531256395311,0.6805812417437253,0.6646666666666666,0.14133333333333334,0.8586666666666667,0.5636761487964989,0.6052631578947368,0.7773083886541944,0.597,0.5546765864332603
S8-deepseek,phishing_email_agent_prediction,3000,0.5,0.13933333333333334,0.30609825947298713,0.38373305526590196,0.03333333333333333,0.7546666666666667,0.24533333333333332,0.8803827751196173,0.5800756620428752,0.28669367404175755,0.606,0.5933205741626795
S8-deepseek,email_phishing_detection_v3_prediction,0,,,,,,,,,,,,
S8-deepseek,pyrit_original_prediction,0,,,,,,,,,,,,
S8-deepseek,pyrit_blocklist_prediction,3000,0.5,0.06533333333333333,0.11330843619007468,0.1650943396226415,0.037333333333333336,0.9066666666666666,0.09333333333333334,0.7142857142857143,0.3064798598949212,0.11297611362169141,0.528,0.52
S8-llama,llm_guard_prediction,3000,0.5,0.7206666666666667,-0.0014858676982540651,0.5898416166029492,0.7213333333333334,0.28,0.72,0.49953746530989823,0.5321245565628695,0.6616025483950012,0.49933333333333335,0.49966697502312674
S8-llama,phishing_email_agent_prediction,3000,0.5,0.24966666666666668,0.3334718969447074,0.5255669186305024,0.10533333333333333,0.606,0.394,0.7890520694259012,0.6572508896797153,0.43784264335457107,0.6443333333333333,0.6138865153538051
S8-llama,email_phishing_detection_v3_prediction,0,,,,,,,,,,,,
S8-llama,pyrit_original_prediction,0,,,,,,,,,,,,
S8-llama,pyrit_blocklist_prediction,2998,0.5003335557038026,0.14076050700466977,0.2318359570492858,0.34547346514047866,0.06008010680907877,0.7786666666666666,0.22133333333333333,0.7867298578199052,0.520702634880803,0.25848645281843663,0.580386924616411,0.5637226039054999
S8-ministral,llm_guard_prediction,3000,0.5,0.6586666666666666,0.035150099270769335,0.5828538550057537,0.642,0.32466666666666666,0.6753333333333333,0.5126518218623481,0.5386005954912803,0.6350300902708125,0.5166666666666667,0.5085441970310391
S8-ministral,phishing_email_agent_prediction,3000,0.5,0.15966666666666668,0.3175932382130451,0.4183931278423446,0.043333333333333335,0.724,0.276,0.8643006263048016,0.6059718969555035,0.31949374903534494,0.6163333333333333,0.6005469728601253
S8-ministral,email_phishing_detection_v3_prediction,0,,,,,,,,,,,,
S8-ministral,pyrit_original_prediction,0,,,,,,,,,,,,
S8-ministral,pyrit_blocklist_prediction,3000,0.5,0.089,0.14867168870028094,0.22297679683078664,0.04666666666666667,0.8686666666666667,0.13133333333333333,0.7378277153558053,0.3835669781931464,0.15717249082495613,0.5423333333333333,0.5312347066167291
