Subject,Body,label,data_source,original_subject,original_body,original_data_source,row_number,model,api_mode,prompt_rounds,skipped,skip_reason
Workflow Efficiency Alignment Assessment,"Dear Team,

A closer examination of our internal operations has uncovered divergences in our prioritization framework which may be obstructing optimal productivity. This assessment was prompted by a team member's feedback highlighting potential inefficiencies in our workflow.

Best regards,
[Name]",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Customer Support Ticket,An employee has reported a decline in productivity attributed to overlapping responsibilities following recent organizational restructuring.,tobiasbuek,12,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Account Update: Missing Invoice Re-Transmitted,"Dear valued customer,

To guarantee you receive all your important documents, we're sending a duplicate invoice for your reference. Unfortunately, our initial invoice to your registered email address did not reach you.

Warm regards,
The Customer Support Team",0,uberjugaad|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Re: Overdue: Customer 588562616,Customer claims invoice never received. Resending now.,uberjugaad,13,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Network Security Review - Collaboration Request,"Dear IT Support Colleagues,

Following an alert from our antivirus monitoring system, we're conducting a comprehensive evaluation of our organisation's cybersecurity defenses. After restarting servers, conducting thorough malware scans, and verifying firewall configurations, it appears that the problem remains, possibly linked to a more fundamental issue. We're considering a potential upgrade to our current antivirus software ( Norton) as well as a thorough review of our network architecture. Your insight and direction on the most suitable course of action would be invaluable in resolving this incident.

Best regards,
[Your Name]",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Customer Support Inquiry Regarding Suspected Medical Data Breach,"Hello Customer Support, I hope this message finds you well. I am writing to inform you of a possible medical data breach that has been flagged by our antivirus software. We have already taken several precautions, such as restarting our servers, performing virus scans, and verifying our firewall settings, but the issue remains unresolved. We suspect that the problem might be related to our outdated Norton Antivirus software and the configuration of our network. We are seeking your help to address this situation promptly. Can you please guide us on the next steps to take?",tobiasbuek,14,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Discrepancies in Project Schedule Coordination,"Dear [Recipient],

Our team discovered a discrepancy in the project timeline, which we believe is linked to API connectivity problems impacting several teams. We are currently working to resolve this issue and synchronize our schedules.

Best regards,
[Your Name]",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Detected Problem with Project Synchronization,Project timelines are failing to synchronize among teams because of an API problem.,tobiasbuek,15,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Urgent: ABC Shop Ltd Order Concerns Require Your Attention,"Hi Support Team,

A pressing matter with a valued client, ABC Shop Ltd, demands our immediate attention to prevent potential issues from escalating.

We've outlined the situation as follows:

Order Context:
- Client: ABC Shop Ltd
- Problem: Uncertainty surrounding the processing of outstanding orders has been raised
- Response Expectation: Swift resolution is essential to meet their requirements

Please evaluate the situation and decide on a course of action to address their concerns.

Best regards,
Frank Hermann",0,uberjugaad|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Customer issue: ABC Shop Ltd - Cancelling remaining orders,"FYI - Customer complaint received:

Customer: ABC Shop Ltd
Issue: Cancelling remaining orders
Severity: 3/5

Please review and advise if escalation needed.

Frank Hermann",uberjugaad,16,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Update on Outstanding Balance and Partnership Engagement,"Dear Valued Collaborator,

As we review the current status of our partnership with your company, we've identified an open issue that demands prompt attention. Our records indicate an outstanding balance of 135,522 euros, which was previously communicated through multiple correspondence, including our recent letter 11 working days ago, to ensure seamless cooperation.

Invoice 2951286, issued 87 days ago, remains unpaid, and we're eager to work together to address this matter and ensure uninterrupted service. Given that you've expressed interest in reviewing your supplier relationships, we'd appreciate your timely response to discuss potential solutions.

Please contact us as soon as possible to facilitate a resolution.

Best regards,
Michael",0,uberjugaad|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Overdue: Customer 542017078 - 56 days,"Please contact customer immediately:

Invoice: 2951286
Amount: €135,522
Days overdue: 87
Last contact: 11 days ago

Customer threatening to switch suppliers but owes us money!

Michael",uberjugaad,17,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Follow-up on SaaS Synchronization,"Dear valued customer,

A performance discrepancy has been reported regarding the synchronization of your SaaS platform across multiple applications. Our support specialists will reach out to you via a follow-up call to outline the necessary steps to expedite a resolution.

To facilitate scheduling, please share your preferred time slots with us. Your normal usage of the platform will continue unaffected, with the exception of potential minor disruptions during the resolution process.

Alternatively, you can contact us directly by phone at 555-1234 or reply to this email to propose a mutually suitable time for the call.

Thank you for your patience and cooperation. Our regular office hours remain Monday through Friday, 9 AM to 5 PM.

Best regards,
The Customer Service Team",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Customer Support Ticket,Problem with synchronization on SaaS platform across multiple products,tobiasbuek,18,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Adjusting Our Marketing Tactic Framework for Enhanced Impact,"Dear Colleagues,

To achieve better alignment with our objectives, we need to take a closer look at our marketing initiatives. An in-depth assessment of our current targeting strategies and online engagement tactics is essential to pinpoint areas for improvement.

Best regards,
Team Management",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Concern Regarding Marketing Campaigns,"The current marketing campaigns are not achieving the anticipated growth in brand engagement due to ineffective targeting and the use of inadequate digital channels. Despite attempts to adjust ad budgets and test content, the results have not been satisfactory.",tobiasbuek,19,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Quarterly Pipeline Progress - 17th Jan Update,"Hello Team,

With 8 ongoing deals currently in motion, our total pipeline value stands at €1,566,574. The upcoming week will see the closure of 3 deals that were previously in negotiation.

We have scheduled 4 customer meetings and will be issuing 3 proposal documents as part of our outreach efforts. To ensure progress, please prioritize the 8 follow-up actions detailed below.

Best regards,
Vincent",0,uberjugaad|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Pipeline Update - January 17,"Morning update:

Opportunities in progress: 8
Value in pipeline: €1,566,574
Closes this week: 3

Key activities today:
- Customer meetings: 4
- Proposals to send: 3
- Follow-ups needed: 8

Vincent",uberjugaad,20,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Enhancing Integration for Seamless Workflow Optimization,"Dear [Recipient],

In an effort to further improve your organization's efficiency, we're conducting a review of our recent updates to identify areas for optimization within your current workflow.

We'd greatly appreciate it if you could provide a concise summary detailing how our latest hardware and software upgrades intersect with your operational goals. This will enable us to better understand your specific requirements and tailor our support services accordingly.

Best regards,
[Your Name]",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Request for Integration Update Details,I am contacting you to seek information about the integration update for compatible software and hardware. I aim to ensure a smooth project management experience. Could you give me more details on the update and how it will enhance my workflow? It would be helpful if you could also guide me on how to implement the update and what benefits I can expect.,tobiasbuek,21,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Explore Enhanced ClickUp Features & Pricing,"Dear ClickUp Support Team,

We're considering an upgrade to unlock additional features within our existing account. Could you please provide a detailed breakdown of the pricing tiers that would grant access to the advanced functionalities and premium support services?

Thank you,
Jane Doe",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Request for Information on ClickUp Premium Plan Pricing,Could you supply pricing details for the ClickUp premium plans?,tobiasbuek,22,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Re: Assistance Needed for Mercury IDE Troubleshooting,"Hi John,

I wanted to personally thank you for reaching out to us regarding the issues you're experiencing with your Mercury IDE. We appreciate the opportunity to work with you to resolve this issue, and your detailed input is going to be crucial in helping our team find a solution.

To get started, we'd appreciate it if you could give us some more specific details about your situation. If you could take a moment to answer the following questions, it will really help us better understand what's going on:

1. Which OS are you currently running, and what version of Mercury IDE is installed?
2. Can you walk us through the exact steps you've taken leading up to the debugging issue occurring?
3. If applicable, could you share a relevant snippet of code or a concrete example where you think breakpoints might be getting skipped?

With this information in hand, we'll be able to provide you with a tailored solution that gets you back up and running with the Mercury IDE as soon as possible.

Best regards,
The Aetheros Support Team",0,rtweera|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Re: Mercury Language Debugging Issue,"Hi John,

Thank you for contacting Aetheros Support. We understand that you are experiencing issues with the debugger in the Mercury IDE.

To help us diagnose the problem, could you please provide the following information:

* Version of the Mercury IDE you are using
* Operating system and version
* Steps to reproduce the issue
* A code snippet where the debugger skips breakpoints

Once we have this information, we will be able to assist you further.

Best regards,
Aetheros Support Team",rtweera,23,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Birthday Celebration Update,"Hi Sam,

With your birthday just around the corner, I'd love to confirm my plans to attend the celebration. Due to some technical difficulties at my end, I've got a pressing matter to attend to momentarily. Meanwhile, I'll be hosting my grandmother for a short visit and need to finalize some arrangements, which might influence my availability.

Would it be okay if I touch base with you regarding my RSVP once I've sorted things out? I appreciate your understanding.

Best regards,
Jean",0,phishpuzzer|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Fwd: To Sam,"Begin forwarded message: > From: ""Jean Meyer"" > Date: 23 August 2007 9:10:36 PM > To: ""tonymeyer"" , ""kaye"" > Subject: To Sam > > Dear Sam. > Thankyou for the lovely invitation to your VERY IMPORTANT BIRTHDAY. > I do hope I can come but it all depends on this nasty Virus that > keeps attacking me. Just as I think it is clearing up it says ""Oh no > I like living with you so I think I will stay a bit longer""I'm > afraid that no one at your Party would be able to hear anything > because of Great Granny coughing, and also my Virus might think it > would like to live with you and that would never do. > Is it O K if I say I will certainly come if I can. > Best Love to you and Mum and Dad > Great Granny XXXX",phishpuzzer,24,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Installation of DataRobot on Lenovo ThinkPad X1 Carbon - Technical Requirements,"Dear Lenovo Technical Team,

I am writing to request information regarding the recommended hardware specifications for setting up and utilizing DataRobot on my Lenovo ThinkPad X1 Carbon laptop.

To ensure a seamless DataRobot installation and optimal performance, could you supply the necessary minimum system requirements for CPU, RAM, and storage? Furthermore, are there any specific hardware configurations that could notably enhance the system's efficiency during the setup process?

Thank you for your support in this matter, and I appreciate your prompt response.

Sincerely,
[Your Name]",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Optimal System Requirements for DataRobot Integration on Lenovo ThinkPad X1 Carbon,"Hello Customer Support, I would like to know the best system requirements for installing DataRobot on my Lenovo ThinkPad X1 Carbon. Could you please provide the necessary details, such as the required processor, RAM, and storage? Additionally, any further recommendations to ensure a smooth setup would be greatly appreciated. Thanks in advance for your help. I look forward to your response. Best regards.",tobiasbuek,25,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Performance Degradation on MacBook Air,"Dear Apple Support Advisor,

I'm having some persistent technical difficulties with my MacBook Air - sometimes it locks up or hangs when running a particular program. Specifically, the issues arise when trying to complete specific tasks.

Would you be able to provide some troubleshooting assistance to help resolve this problem?",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Request for Crash Assistance,The application frequently crashes on my MacBook Air.,tobiasbuek,26,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Database Optimisation for Enhanced Application Speed,"Your project management system is currently experiencing decreased efficiency, primarily due to a database that's become unnecessarily large. In order to boost data processing rates, we recommend re-evaluating the database configuration and scaling the infrastructure accordingly.

As part of our ongoing efforts to resolve the issue, we've already attempted restarting the application and clearing the data buffer, but unfortunately, these measures haven't produced the desired outcome.",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Facing Performance Challenges with SaaS Project Management Platform,The SaaS project management tool is facing performance challenges due to high database load on PostgreSQL. Restarting the application and clearing the cache did not resolve the issues.,tobiasbuek,27,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Ensuring Robust Security through McAfee Integration Enhancements,"Dear Valued Healthcare Associate,

We're constantly striving to fortify our collective defenses against data breaches and maintain an unwavering commitment to safeguarding sensitive patient information. To that end, our partnership with McAfee Total Protection continues to play a pivotal role in bolstering our cybersecurity posture.

This collaboration delivers an array of comprehensive security features, such as real-time threat detection, access control with granular permissions, and automatic updates to stay up-to-date with emerging threats. Our adherence to strict HIPAA guidelines is also ensured through meticulous protocol adherence and continuous evaluation of our security stack, which includes end-to-end encryption to protect against unauthorized data exposure.",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,McAfee Security for Medical Data,Could you please outline the security measures implemented by McAfee Total Protection for safeguarding medical data?,tobiasbuek,28,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Urgent: Overdue Invoice for Customer Account 558800423,"Dear Account Management Team,

A thorough review of our customer accounts has brought to our attention a significant outstanding balance of €426,461 on account 558800423, which is now overdue by 70 days due to an unpaid invoice (ref: 2384487). As our last communication with the customer was 5 business days ago, we are compelled to reiterate the urgency of the situation and the potential consequences of non-payment, including loss of business and a negative impact on our revenue stream.

We would appreciate it if you could expedite your response to this matter and engage with the customer as soon as possible to discuss feasible payment arrangements and alternatives to resolve the outstanding balance.

We appreciate your prompt assistance in resolving this matter and avoiding any further disruptions.

Best regards,
Jolanta",0,uberjugaad|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Overdue: Customer 558800423 - 78 days,"Please contact customer immediately:

Invoice: 2384487
Amount: €426,461
Days overdue: 70
Last contact: 5 days ago

Customer threatening to switch suppliers but owes us money!

Jolanta",uberjugaad,29,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Maintenance Update: Enhanced Platform Availability,"Portal Availability Notice

Our system monitoring has detected occasional access disruptions to the project management platform impacting a small number of users primarily during busy periods. Although initial adjustments have been implemented to balance server capacity, a more thorough review is necessary to ensure a stable and efficient experience for all users.",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Problem with Login System,Users are facing sporadic login difficulties on the project management platform. This might be linked to heightened server load during peak times. Steps like clearing cache and restarting the application server have been attempted but the issue remains unresolved. We require your assistance in resolving this problem.,tobiasbuek,30,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Production Environment Accessibility Update,"Hello [Recipient],

Following a successful intervention, our technical team has rectified the service outage impacting your production environment. We implemented a strategic adjustment to the Identity and Access Management roles for the cloud-based servers set up over the past few weeks. This change should restore your team's unrestricted access to the production zone.

To validate the resolution, kindly verify that your environment is now operational as required.

Best regards,
[Your Name]",0,rtweera|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Re: URGENT: Production Down - IAM and Cloud Integration Failure,"We've identified the issue. There was a misconfiguration with the IAM roles assigned to your newly provisioned cloud servers. We've corrected the configuration, and your production environment should now be accessible. Please confirm if the issue is resolved on your end.",rtweera,31,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Exploring Integration Possibilities with Our Platform,"Hi Team,

As we reassess our infrastructure, we're looking to optimize our project management tools and are keen on examining potential synergies with your project management platform. We're intrigued by the versatility of your API and its capacity to interface with our existing systems.

Could you offer some insight into the types of integrations supported, including specifics on data synchronization and workflow automation? We're also interested in any practical considerations that might come into play, such as user or project quotas, and any disparities in feature access based on subscription tier.

We're eager to learn more about how our organizations might benefit from collaboration and look forward to a discussion with your team.

Best regards,
[Your Name]",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Inquiry on API Integration and Project Management Features,"Customer Support, contacting to inquire about API integration features for project management services. Interested in expanding our current system and would like to know the capabilities of the API. Could you provide details on the types of integrations offered, data synchronization, and workflow automation? Additionally, what are the limitations and restrictions, such as the number of users and projects that can be managed through the API? Appreciate your time and look forward to hearing back with the details.",tobiasbuek,32,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Quarterly Discount Offer from Company 934 - Client Endorsement Required,"Dear Gerard,

We're approaching the quarter-end, and as part of our quarterly review, we need your approval to offer our valued clients a customised pricing arrangement with Company 934.

This agreement would bring significant savings of €251,297 for our clients, equating to a 22% reduction on their total invoice amount.

Our goal is to capitalise on the quarter-end opportunity to increase sales volumes and ensure a smoother financial period close.

To enable this, please log in to our internal system and authorise the requested changes without delay.

Best regards,
Gerard",0,uberjugaad|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Approval needed: Special pricing,"Need approval for:

Customer: Company_934
Deal size: €251,297
Discount requested: 22%
Reason: End of quarter push

Please approve in system.

Gerard",uberjugaad,33,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Strengthening Our Online Profile,"Dear Team,

As we aim to amplify our presence on the digital landscape, the team has been exploring options to extend our reach beyond our current online footprint. This could involve leveraging social media channels and other web platforms to engage with a wider range of potential customers.

Your insights into how we might tailor our strategy to resonate with a more diverse demographic would be invaluable. We're interested in hearing your suggestions and exploring innovative ways to raise brand awareness.

Best regards,
[Name]",0,tobiasbuek|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Customer Support Ticket,"Could you furnish more information on digital strategies for brand growth? I aim to enhance my online presence and reach a broader audience. I would be grateful for any guidance or recommendations you can offer. Thank you for your assistance, and I look forward to hearing from you soon.",tobiasbuek,34,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
Notification: Outstanding Balance for Client Account 593375827,"Dear Michael,

In order to avoid the potential loss of a valued client, we would like to bring to your attention an unresolved account issue concerning client 593375827. Our records show that this account has a remaining balance of €297,631 linked to invoice 2590296, which has remained outstanding for a prolonged period of 68 days. It has been 20 days since our last interaction with the client, during which time they have indicated a consideration of switching service providers due to the unresolved balance.

In an effort to preserve the business relationship and ensure their continued partnership, we recommend scheduling a call to discuss potential settlement solutions at your earliest convenience.

Best regards,
[Your Name]",0,uberjugaad|multiphishguard:meta-llama-Llama-3.1-8B-Instruct:r3,Overdue: Customer 593375827 - 48 days,"Please contact customer immediately:

Invoice: 2590296
Amount: €297,631
Days overdue: 68
Last contact: 20 days ago

Customer threatening to switch suppliers but owes us money!

Michael",uberjugaad,35,meta-llama/Llama-3.1-8B-Instruct,local_hf,3,false,
